no,단어,사용가부,사용 제한,불가 사유,사용 예시,해결 방법,주의 사항
1,협찬,사용 가능,모든 경우에 사용 가능한 표현입니다.,,#협찬‚ #상품협찬‚ #제품협찬‚ #서비스협찬‚ [협찬]‚ 이 글은 협찬을 받아 작성되었습니다.,,
2,광고,사용 가능,모든 경우에 사용 가능한 표현입니다.,,광고 포함,,
3,상업광고,사용 가능,모든 경우에 사용 가능한 표현입니다.,,,,
4,유료광고,사용 가능,모든 경우에 사용 가능한 표현입니다.,,유료 광고 포함,,
5,sponsored,사용 불가,단독으로는 모든 경우에 사용할 수 없는 표현입니다.,국내 소비자 보호를 위해 외국어 표기는 금지됩니다.,,한국어로 경제적 이해관계를 표시하세요.,
6,#sp,사용 불가,단독으로는 모든 경우에 사용할 수 없는 표현입니다.,국내 소비자 보호를 위해 외국어 표기는 금지됩니다.,,,
7,AD,사용 불가,단독으로는 모든 경우에 사용할 수 없는 표현입니다.,국내 소비자 보호를 위해 외국어 표기는 금지됩니다.,,,
8,유료AD,사용 불가,단독으로는 모든 경우에 사용할 수 없는 표현입니다.,국내 소비자 보호를 위해 외국어 표기는 금지됩니다.,,,
9,partner,사용 불가,단독으로는 모든 경우에 사용할 수 없는 표현입니다.,국내 소비자 보호를 위해 외국어 표기는 금지됩니다.,,,
10,partnership,사용 불가,단독으로는 모든 경우에 사용할 수 없는 표현입니다.,국내 소비자 보호를 위해 외국어 표기는 금지됩니다.,,,
11,partnership with [브랜드명],사용 불가,단독으로는 모든 경우에 사용할 수 없는 표현입니다.,국내 소비자 보호를 위해 외국어 표기는 금지됩니다.,,,
12,thank [브랜드명],사용 불가,단독으로는 모든 경우에 사용할 수 없는 표현입니다.,국내 소비자 보호를 위해 외국어 표기는 금지됩니다.,,,
13,thanks to [브랜드명],사용 불가,단독으로는 모든 경우에 사용할 수 없는 표현입니다.,국내 소비자 보호를 위해 외국어 표기는 금지됩니다.,,,
14,collaboration,사용 불가,단독으로는 모든 경우에 사용할 수 없는 표현입니다.,국내 소비자 보호를 위해 외국어 표기는 금지됩니다.,,,
15,광고비,조건부 가능,"광고비, 수수료 등 금전 형태를 지급한 경우 사용할 수 있습니다.",,,다른 형태(e.g. 무료로 대여하거나 할인혜택을 받은 경우)로 지원받은 경우 더 적당한 단어를 선택하여야 합니다.,
16,광고비 지급,조건부 가능,"광고비, 수수료 등 금전 형태를 지급한 경우 사용할 수 있습니다.",,,,
17,수수료,조건부 가능,"광고비, 수수료 등 금전 형태를 지급한 경우 사용할 수 있습니다.",,이 글은 A사로부터 소정의 수수료를 지급받아 작성되었습니다.,,
18,수수료 지급,조건부 가능,"광고비, 수수료 등 금전 형태를 지급한 경우 사용할 수 있습니다.",,,,
19,금전적 지원,조건부 가능,"광고비, 수수료 등 금전 형태를 지급한 경우 사용할 수 있습니다.",,,,
20,제작비,조건부 가능,"광고비, 수수료 등 금전 형태를 지급한 경우 사용할 수 있습니다.",,,,
21,제작비 지원,조건부 가능,"광고비, 수수료 등 금전 형태를 지급한 경우 사용할 수 있습니다.",,,,
22,제작비 협찬,조건부 가능,"광고비, 수수료 등 금전 형태를 지급한 경우 사용할 수 있습니다.",,,,
23,판매수익의 일부 지급,조건부 가능,"광고비, 수수료 등 금전 형태를 지급한 경우 사용할 수 있습니다.",,,,
24,무료 제공,조건부 가능,"상품, 서비스 등을 무료로 제공한 경우 사용할 수 있습니다.",,,,작성시 경제적 대가를 실제 받은 것보다 축소하지 않아야 합니다. <pre>(e.g. 할인 혜택을 받은 경우 사용 불가) </pre>
25,무료 지원,조건부 가능,"상품, 서비스 등을 무료로 제공한 경우 사용할 수 있습니다.",,,,작성시 경제적 대가를 실제 받은 것보다 축소하지 않아야 합니다. <pre>(e.g. 할인 혜택을 받은 경우 사용 불가) </pre>
26,무료 대여,조건부 가능,"상품, 서비스 등을 무료로 대여한 경우 사용할 수 있습니다.",,,,작성시 경제적 대가를 실제 받은 것보다 축소하지 않아야 합니다. <pre>(e.g. 할인 혜택을 받은 경우 사용 불가) </pre>
27,무료 지원,조건부 가능,"상품, 서비스 등을 무료로 대여한 경우 사용할 수 있습니다.",,,,
28,할인 지원,조건부 가능,"상품, 서비스 등에 할인 혜택을 제공한 경우 사용할 수 있습니다.",,,,
29,할인혜택 제공,조건부 가능,"상품, 서비스 등에 할인 혜택을 제공한 경우 사용할 수 있습니다.",,,,
30,할인권 지원,조건부 가능,"상품, 서비스 등에 할인 혜택을 제공한 경우 사용할 수 있습니다.",,,,
31,적립금,조건부 가능,적립금 등을 지급한 경우 사용할 수 있습니다.,,,,
32,적립금 지급,조건부 가능,적립금 등을 지급한 경우 사용할 수 있습니다.,,,,
33,포인트 지급,조건부 가능,적립금 등을 지급한 경우 사용할 수 있습니다.,,,,
34,전속 모델,조건부 가능,"해당 상품, 서비스의 전속 모델로 활동하는 경우 사용할 수 있습니다.",,,,
35,모델 활동비 지급,조건부 가능,"해당 상품, 서비스의 전속 모델로 활동하는 경우 사용할 수 있습니다.",,,,
36,수익 일부 지급,조건부 가능,공동구매 주선 등을 통해 수익을 공유하는 경우 사용할 수 있습니다.,,,,
37,수익 배분,조건부 가능,공동구매 주선 등을 통해 수익을 공유하는 경우 사용할 수 있습니다.,,,,
38,공동구매,조건부 가능,공동구매 주선 등을 통해 수익을 공유하는 경우 사용할 수 있습니다.,,,,
39,체험단,사용 불가,단독으로는 모든 경우에 사용할 수 없는 표현입니다.,경제적 이해관계를 명확하게 나타내는 단어로 볼 수 없습니다.,,다른 단어로 교체하여야 합니다.,
40,선물,사용 불가,단독으로는 모든 경우에 사용할 수 없는 표현입니다.,경제적 이해관계를 명확하게 나타내는 단어로 볼 수 없습니다.,,,
41,숙제,사용 불가,단독으로는 모든 경우에 사용할 수 없는 표현입니다.,경제적 이해관계를 명확하게 나타내는 단어로 볼 수 없습니다.,,,
42,서포터즈,사용 불가,단독으로는 모든 경우에 사용할 수 없는 표현입니다.,경제적 이해관계를 명확하게 나타내는 단어로 볼 수 없습니다.,,,
43,홍보성 글,사용 불가,단독으로는 모든 경우에 사용할 수 없는 표현입니다.,경제적 이해관계를 명확하게 나타내는 단어로 볼 수 없습니다.,,,
44,홍보문구,사용 불가,단독으로는 모든 경우에 사용할 수 없는 표현입니다.,경제적 이해관계를 명확하게 나타내는 단어로 볼 수 없습니다.,,,
45,홍보문구가 포함됨,사용 불가,단독으로는 모든 경우에 사용할 수 없는 표현입니다.,경제적 이해관계를 명확하게 나타내는 단어로 볼 수 없습니다.,,,
46,[브랜드명]X[계정명],사용 불가,단독으로는 모든 경우에 사용할 수 없는 표현입니다.,경제적 이해관계를 명확하게 나타내는 단어로 볼 수 없습니다.,,,
47,#브랜드명,사용 불가,단독으로는 모든 경우에 사용할 수 없는 표현입니다.,경제적 이해관계를 명확하게 나타내는 단어로 볼 수 없습니다.,,,
48,#상품명,사용 불가,단독으로는 모든 경우에 사용할 수 없는 표현입니다.,경제적 이해관계를 명확하게 나타내는 단어로 볼 수 없습니다.,,,
49,고마워요 [브랜드명],사용 불가,단독으로는 모든 경우에 사용할 수 없는 표현입니다.,경제적 이해관계를 명확하게 나타내는 단어로 볼 수 없습니다.,,,
50,[브랜드명]과 함께해요,사용 불가,단독으로는 모든 경우에 사용할 수 없는 표현입니다.,경제적 이해관계를 명확하게 나타내는 단어로 볼 수 없습니다.,,,
51,[브랜드 로고],사용 불가,단독으로는 모든 경우에 사용할 수 없는 표현입니다.,경제적 이해관계를 명확하게 나타내는 단어로 볼 수 없습니다.,,,
52,원고료,조건부 가능,원고료를 지급받은 경우 사용할 수 있습니다.,,이 글은 소정의 원고료를 지급받아 작성되었습니다.,,